2024-02-02T14:00:23.273055,Cornell,13 - 8,1,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Jasper|Jonah|Nobi,,,,,,
2024-02-02T14:00:23.273056,Cornell,13 - 8,2,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,Ben|Conor|Julian|Leo J|Leo X|Mauricio|Will,,,,,,
2024-02-02T14:00:23.273057,Cornell,13 - 8,3,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,Bobby|Clay|Dexter|Jonah|Max|Nathan P|Quinn,,,,,,
2024-02-02T14:00:23.273058,Cornell,13 - 8,4,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Conor|Julian|Leo J|Leo X|Mauricio|Nathan K|Will,,,,,,
2024-02-02T14:00:23.273059,Cornell,13 - 8,5,FALSE,TRUE,0,0,0,0,0,0,0,0,2,0,0,2,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T14:00:23.273060,Cornell,13 - 8,6,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Ben|Bobby|Dexter|Jonah|Leo X|Nathan P|Quinn,,,,,,
2024-02-02T14:00:23.273061,Cornell,13 - 8,7,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Nathan P|Nobi|Tej,,,,,,
2024-02-02T14:00:23.273062,Cornell,13 - 8,8,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Clay|Dexter|Julian|Leo J|Mauricio|Max|Nathan K,,,,,,
2024-02-02T14:00:23.273063,Cornell,13 - 8,9,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Dexter|Fin|Jasper|Tej,,,,,,
2024-02-02T14:00:23.273064,Cornell,13 - 8,10,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Ben|Conor|Jonah|Leo J|Leo X|Quinn|Will,,,,,,
2024-02-02T14:00:23.273065,Cornell,13 - 8,11,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Jasper|Jonah|Nobi,,,,,,
2024-02-02T14:00:23.273066,Cornell,13 - 8,12,TRUE,FALSE,0,0,0,0,0,0,0,0,0,2,1,1,Bobby|Clay|Leo J|Mauricio|Max|Nathan P|Quinn,,,,,,
2024-02-02T14:00:23.273067,Cornell,13 - 8,13,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T14:00:23.273068,Cornell,13 - 8,14,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Ben|Conor|Dexter|Julian|Leo X|Nathan K|Will,,,,,,
2024-02-02T14:00:23.273069,Cornell,13 - 8,15,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Nathan P|Nobi|Tej,,,,,,
2024-02-02T14:00:23.273070,Cornell,13 - 8,16,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Bobby|Clay|Jonah|Leo J|Max|Nathan P|Quinn,,,,,,
2024-02-02T14:00:23.273071,Cornell,13 - 8,17,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Dexter|Fin|Jasper|Tej,,,,,,
2024-02-02T14:00:23.273072,Cornell,13 - 8,18,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,Ben|Bobby|Clay|Conor|Julian|Leo X|Mauricio,,,,,,
2024-02-02T14:00:23.273073,Cornell,13 - 8,19,TRUE,TRUE,1,0,0,0,0,0,0,0,1,0,0,0,Ben|Dexter|Leo J|Max|Nathan K|Nathan P|Will,,,,,,
2024-02-02T14:00:23.273074,Cornell,13 - 8,20,TRUE,FALSE,0,0,0,0,0,0,0,0,1,1,1,1,Clay|Conor|Jonah|Julian|Max|Nathan K|Quinn,,,,,,
2024-02-02T14:00:23.273075,Cornell,13 - 8,21,FALSE,TRUE,0,0,0,0,0,0,0,0,1,0,1,0,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T17:38:48.741765,Florida,13 - 11,1,FALSE,TRUE,1,1,0,0,0,0,0,0,1,0,1,0,Cullen|Daniel|Declan|Fin|Nathan P|Nobi|Tej,,,,,,
2024-02-02T17:38:48.741766,Florida,13 - 11,2,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Ben|Conor|Julian|Leo J|Leo X|Mauricio|Will,,,,,,
2024-02-02T17:38:48.741767,Florida,13 - 11,3,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Jasper|Jonah|Nobi,,,,,,
2024-02-02T17:38:48.741768,Florida,13 - 11,4,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,1,Bobby|Clay|Dexter|Jonah|Max|Nathan P|Quinn,,,,,,
2024-02-02T17:38:48.741769,Florida,13 - 11,5,FALSE,TRUE,0,1,0,0,0,0,0,0,1,0,1,0,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T17:38:48.741770,Florida,13 - 11,6,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Ben|Conor|Dexter|Julian|Leo J|Leo X|Nathan K,,,,,,
2024-02-02T17:38:48.741771,Florida,13 - 11,7,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Jasper|Jonah|Nobi,,,,,,
2024-02-02T17:38:48.741772,Florida,13 - 11,8,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,Bobby|Jonah|Mauricio|Max|Nathan P|Quinn|Will,,,,,,
2024-02-02T17:38:48.741773,Florida,13 - 11,9,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,Ben|Clay|Conor|Julian|Leo J|Leo X|Nathan K,,,,,,
2024-02-02T17:38:48.741774,Florida,13 - 11,10,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,Bobby|Dexter|Jonah|Mauricio|Nathan P|Quinn|Will,,,,,,
2024-02-02T17:38:48.741775,Florida,13 - 11,11,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,1,Ben|Clay|Conor|Julian|Leo J|Max|Nathan K,,,,,,
